UNINUM,Number,Name,Address,County,City,State,Zip,Service.Type,Established.Date,Acquired.Date,X,Y
225115,7859,21st & Granby Branch,2014 Granby Street,Norfolk City,Norfolk,VA,23517,Full Service Brick and Mortar Office,04/12/1949,03/20/2010,-76.28506569999999,36.8671528
225126,7854,Eleventh & Marshall Branch,401 N 11th St,Richmond City,Richmond,VA,23219,Full Service Brick and Mortar Office,09/12/1956,03/20/2010,-77.4308166,37.5407618
225130,7855,Parham & Broad Branch,8215 Broad Street,Henrico,Richmond,VA,23294,Full Service Brick and Mortar Office,10/10/1966,03/20/2010,-77.53618829999999,37.6301952
225155,7865,Fox Mill Branch,2575 John Milton Drive,Fairfax,Herndon,VA,20171,Full Service Brick and Mortar Office,05/02/1979,03/20/2010,-77.37565239999999,38.92586439999999
225162,7867,John Rolfe Place Branch,10821 Ridgefield Parkway,Henrico,Richmond,VA,23233,Full Service Brick and Mortar Office,12/22/1981,03/20/2010,-77.62495919999999,37.6203941
225183,7871,Lynnhaven Mall Branch,675 Lynnhaven Parkway,Virginia Beach City,Virginia Beach,VA,23452,Full Service Brick and Mortar Office,10/27/1988,03/20/2010,-76.06751919999999,36.8225747
225184,7872,Prosperity Centre Branch,701 East Market Street,Loudoun,Leesburg,VA,20176,Full Service Brick and Mortar Office,08/15/1988,03/20/2010,-77.5492592,39.1060614
225191,7873,Highland Springs - Airport Branch,81 South Airport Drive,Henrico,Highland Springs,VA,23075,Full Service Brick and Mortar Office,05/14/1990,03/20/2010,-77.3223539,37.5354621
225208,8640,Carytown - Cary Court Branch,3201 West Cary Street,Richmond City,Richmond,VA,23221,Full Service Brick and Mortar Office,04/01/1929,03/20/2010,-77.4824363,37.5535669
227379,7575,13th & Pennsylvania Office,1301 Pennsylvania Avenue Nw,District Of Columbia,Washington,DC,20004,Full Service Brick and Mortar Office,12/29/1958,03/20/2010,-77.02990919999999,38.8965205
227380,7576,Farragut North Branch,"1001 Connecticut Avenue, N.W.",District Of Columbia,Washington,DC,20036,Full Service Brick and Mortar Office,04/01/1963,03/20/2010,-77.0390135,38.9029004
227385,7577,18th & K Branch,"1800 K Street, N.W.",District Of Columbia,Washington,DC,20006,Full Service Brick and Mortar Office,02/26/1973,03/20/2010,-77.042144,38.9020707
227386,7578,Connecticut & N Branch,"1300 Connecticut Avenue, N.W.",District Of Columbia,Washington,DC,20036,Full Service Brick and Mortar Office,03/18/1974,03/20/2010,-77.04276109999999,38.9075913
227434,7909,K Street Branch,"1510 K Street, N.W.",District Of Columbia,Washington,DC,20005,Full Service Brick and Mortar Office,12/05/1939,03/20/2010,-77.0351704,38.90225179999999
227440,7910,Capitol Hill Branch,"215 Pennsylvania Avenue, S.E.",District Of Columbia,Washington,DC,20003,Full Service Brick and Mortar Office,04/03/1978,03/20/2010,-77.0028713,38.8870124
227588,7870,Elmhurst Branch,5700 Portsmouth Boulevard,Portsmouth City,Portsmouth,VA,23701,Full Service Brick and Mortar Office,11/05/1971,03/20/2010,-76.3807937,36.8200872
227663,7879,Parkville Shopping Center Branch,7639 Harford Road,Baltimore,Baltimore,MD,21234,Full Service Brick and Mortar Office,12/01/1925,03/20/2010,-76.5421698,39.3716214
227665,7880,Highlandtown Branch,4820 Eastern Avenue,Baltimore City,Baltimore,MD,21224,Full Service Brick and Mortar Office,04/01/1937,03/20/2010,-76.55519009999999,39.2872452
227666,7881,Gwynn Oak Junction Branch,4735 Liberty Heights Avenue,Baltimore City,Baltimore,MD,21207,Full Service Brick and Mortar Office,01/06/1947,03/20/2010,-76.6968459,39.3314122
227672,7882,Walbrook Branch,3200 West North Avenue,Baltimore City,Baltimore,MD,21216,Full Service Brick and Mortar Office,05/23/1931,03/20/2010,-76.6711174,39.3092334
227674,7883,Westside Shopping Center Branch,2320 Ashton Street,Baltimore City,Baltimore,MD,21223,Full Service Brick and Mortar Office,04/01/1919,03/20/2010,-76.65392800000001,39.2813131
