UNINUM,Number,Name,Address,County,City,State,Zip,Service Type,Established Date,Acquired Date
199734,1021,Poway/Twin Peaks Plaza Branch,14815 Pomerado Road,San Diego,Poway,CA,92064,Full Service Brick and Mortar Office,07/16/1990,
199737,1024,Redwood Plaza Branch,774 Admiral Callaghan Lane,Solano,Vallejo,CA,94591,Full Service Retail Office,10/01/1990,
199738,1025,Chino Hills Branch,3289 Grand Avenue,San Bernardino,Chino Hills,CA,91709,Full Service Brick and Mortar Office,11/19/1990,
199739,1026,Oak Hills Center Branch,660 Baily Road,Contra Costa,Bay Point,CA,94565,Full Service Retail Office,11/19/1990,
199743,1030,Montclair Village Branch,2220 Mountain Boulevard,Alameda,Oakland,CA,94611,Full Service Brick and Mortar Office,11/01/1990,
199744,1031,Kirker Pass Branch,5431 Clayton Road,Contra Costa,Clayton,CA,94517,Full Service Retail Office,10/29/1990,
199746,1033,Hillcrest Branch,3365 Deer Valley Road,Contra Costa,Antioch,CA,94531,Full Service Retail Office,12/21/1990,
199747,1034,Laguna Creek Branch,5120 Laguna Boulevard,Sacramento,Elk Grove,CA,95758,Full Service Brick and Mortar Office,12/17/1990,
199749,1036,Marlow Center Branch,1799 Marlow Road,Sonoma,Santa Rosa,CA,95401,Full Service Retail Office,01/28/1991,
199751,1038,Evergreen Branch,3331 San Felipe Road,Santa Clara,San Jose,CA,95135,Full Service Brick and Mortar Office,02/11/1991,
199752,1039,Greenhaven Branch,7375 Greenhaven Drive,Sacramento,Sacramento,CA,95831,Full Service Brick and Mortar Office,02/04/1991,
199753,1040,Branham-Snell Branch,191 Branham Lane,Santa Clara,San Jose,CA,95136,Full Service Brick and Mortar Office,02/04/1991,
199758,1052,Diablo Avenue Branch,900 Diablo Avenue,Marin,Novato,CA,94947,Full Service Retail Office,03/25/1991,
199762,1056,Yorba Linda Branch,20375 Yorba Linda Boulevard,Orange,Yorba Linda,CA,92886,Full Service Brick and Mortar Office,07/08/1991,
199766,1193,Rockridge Branch,5100 Broadway,Alameda,Oakland,CA,94611,Full Service Retail Office,11/04/1991,
199774,1201,Lompoc Branch,645 West Central Avenue,Santa Barbara,Lompoc,CA,93436,Full Service Brick and Mortar Office,12/02/1991,
199784,1211,Wilshire Chelsea Branch,2444 Wilshire Boulevard,Los Angeles,Santa Monica,CA,90403,Full Service Brick and Mortar Office,06/01/1992,
199789,1216,Westlake Mall Branch,601 Westlake Center,San Mateo,Daly City,CA,94015,Full Service Retail Office,07/13/1992,
199793,1220,Dixon Branch,1235 Stratford Avenue,Solano,Dixon,CA,95620,Full Service Retail Office,07/06/1992,
199794,1221,Union Avenue Branch,15543 Union Avenue,Santa Clara,Los Gatos,CA,95032,Full Service Retail Office,12/14/1992,
199795,1222,Fortuna Branch,701 South Fortuna Boulevard,Humboldt,Fortuna,CA,95540,Full Service Retail Office,12/14/1992,
199796,1223,Broadway/Spring Center Branch,333 South Spring Street,Los Angeles,Los Angeles,CA,90013,Full Service Brick and Mortar Office,11/16/1992,
199799,1226,South Broadway Branch,1450 South Broadway,Santa Barbara,Santa Maria,CA,93454,Full Service Brick and Mortar Office,05/24/1993,
199800,1227,La Puente Branch,1801 North Hacienda Boulevard,Los Angeles,La Puente,CA,91744,Full Service Retail Office,06/01/1993,
199802,1229,Twentieth Street W & Ave K Branch,43543 20th Street West,Los Angeles,Lancaster,CA,93534,Full Service Retail Office,06/28/1993,
199803,1230,Van Buren & California Branch,4250 Van Buren Boulevard,Riverside,Riverside,CA,92503,Full Service Retail Office,08/02/1993,
199806,1233,Windsor Branch,8852 Lakewood Drive,Sonoma,Windsor,CA,95492,Full Service Retail Office,08/23/1993,
199808,1235,Highland Center Branch,26529 Highland Avenue,San Bernardino,Highland,CA,92346,Full Service Retail Office,08/30/1993,
199814,1241,Livermore-Las Positas Branch,4495 1st Street,Alameda,Livermore,CA,94551,Full Service Retail Office,12/17/1993,
199816,1243,South Lake Tahoe Branch,4000 Lake Tahoe Boulevard,El Dorado,South Lake Tahoe,CA,96150,Full Service Retail Office,01/10/1994,
199817,1244,Morgan Hill-Dunne Avenue Branch,840 East Dunne Avenue,Santa Clara,Morgan Hill,CA,95037,Full Service Retail Office,03/03/1994,
199818,1245,Rohnert Park Branch,100 Raleys Towne Center,Sonoma,Rohnert Park,CA,94928,Full Service Retail Office,05/16/1994,
